Time,Angle_HipFlexion,Angle_HipAbduction,Angle_KneeFlexion,Angle_AnklePlantarFlexion,Angle_ElbowFlexion,Angle_WristFlexion
1.07,-18.0504081002572,-1.46976483366977,5.74912799199891,-9.00108555146328,5.34863272944925,-56.7407302741863
1.08,-17.8528845935379,-1.44356294029261,6.32413057052135,-9.39181579878666,5.37920308367524,-56.7528244265205
1.09,-17.6019689498275,-1.42515894626759,6.99466070118589,-9.83065633983145,5.41227685937051,-56.764231569816
1.1,-17.2970733449904,-1.41351009036747,7.75872304561247,-10.3157999126696,5.44780099751252,-56.7749824169182
1.11,-16.9384124301623,-1.40725618202189,8.6122053792133,-10.84419635045,5.48567126846844,-56.7851177011385
1.12,-16.5270106391602,-1.40481042231185,9.54891288043619,-11.4115562406856,5.52574477665115,-56.7946806465943
1.13,-16.0647221704935,-1.4044699635231,10.5606220055729,-12.0123976578705,5.56784439715325,-56.8037155892173
1.14,-15.554247080253,-1.40454422311031,11.6371721666434,-12.6401423873647,5.61176285211132,-56.8122669884167
1.15,-14.9991086934886,-1.40348060824403,12.7666494273558,-13.2873174780326,5.65725861861321,-56.8203838576992
1.16,-14.4035978297796,-1.39998947239306,13.9356324379564,-13.9457961145529,5.70405924665628,-56.8281189218144
1.17,-13.7727675241688,-1.39322251456284,15.1293145189502,-14.6067931672323,5.75193539522432,-56.8354795027145
1.18,-13.1120629453448,-1.38266882143264,16.3323250723514,-15.2617893347303,5.80058155512179,-56.8425096326746
1.19,-12.4272342384344,-1.36823488979982,17.5289440388622,-15.9025020521778,5.84968877063777,-56.8492416503917
1.2,-11.7241226804425,-1.35019144258354,18.7035441719705,-16.5211334478275,5.89894962216941,-56.8556938817291
1.21,-11.0084529724999,-1.32907720478477,19.841007816884,-17.1105552342223,5.94805548382676,-56.8618736483307
1.22,-10.2856791312999,-1.30559804150121,20.9270402311263,-17.6643510591898,5.99670138837288,-56.8677752333062
1.23,-9.56088259390982,-1.28052992490121,21.9483965738002,-18.1767709099145,6.04459070516314,-56.8733781582541
1.24,-8.83872319876964,-1.25463807060418,22.8930285296713,-18.6426271111251,6.09143946027853,-56.8786459275241
1.25,-8.12343345070899,-1.22861795657045,23.7501656907369,-19.0571647609788,6.13698793055844,-56.8835198143211
1.26,-7.41884740129234,-1.20305774582238,24.5103498489143,-19.4159346588939,6.1810046239815,-56.887918209593
1.27,-6.72846544662071,-1.17841640472442,25.1654398927608,-19.7146890959684,6.22322026506939,-56.8917859518403
