Time,Plate1_Fx,Plate1_Fy,Plate1_Fz,Plate2_Fx,Plate2_Fy,Plate2_Fz
1.6,-38.5695984365466,55.8123720436122,620.968828297472,-0,-0,-0
1.61,-38.2771823750165,57.0580432331251,620.272973480186,-0,-0,-0
1.62,-37.9485003972715,58.4297409416125,619.868565776957,-0,-0,-0
1.63,-37.580309460324,59.9918000705873,619.749092291646,-0,-0,-0
1.64,-37.1599050265368,61.8037314900026,620.01101324518,-0,-0,-0
1.65,-36.7323936676282,63.8096348888821,620.732771751232,-0,-0,-0
1.66,-36.3107441516805,66.0329882315451,622.043714527372,-0,-0,-0
1.67,-35.9607121836796,68.2735911079973,624.095811455878,-0,-0,-0
1.68,-35.7414229783426,70.4145849770868,626.836754487201,-0,-0,-0
1.69,-35.7067473484396,72.2984322788898,630.105748145785,-0,-0,-0
1.7,-35.8868154723133,73.8512553377021,633.59302482128,-0,-0,-0
1.71,-36.2580001948905,75.0606330603866,637.099661095251,-0,-0,-0
1.72,-36.8177155314046,76.0249528443489,640.238112933101,-0,-0,-0
1.73,-37.5342921855849,76.7921097298325,642.883153427468,-0,-0,-0
1.74,-38.3495101337991,77.5175177212547,644.998440919439,-0,-0,-0
1.75,-39.25752932733,78.2340962467001,646.468631506768,-0,-0,-0
1.76,-40.2177908343525,79.0393385793365,647.234571147517,-0,-0,-0
1.77,-41.1843618664369,79.9529596265814,647.185124461689,-0,-0,-0
1.78,-42.1117044579185,80.8935586529522,645.762414273006,-0,-0,-0
1.79,-42.7405385749564,81.6085482889766,642.017386425401,-0,-0,-0
1.8,-42.373196713679,80.6831904080369,631.01933249613,-0,-0,-0
1.81,-36.3332947325624,69.0394457319623,580.12491088946,-0,-0,-0
1.82,-4.67867765257196e-05,-0.000163882220983072,0.0501461568089515,-0,-0,-0
1.83,-0,-0,-0,-0,-0,-0
1.84,-0,-0,-0,-0,-0,-0
1.85,-0,-0,-0,-0,-0,-0
1.86,-0,-0,-0,-0,-0,-0
1.87,-0,-0,-0,-0,-0,-0
1.88,-0,-0,-0,-0,-0,-0
1.89,-0,-0,-0,-0,-0,-0
1.9,-0,-0,-0,-0,-0,-0
1.91,-0,-0,-0,-0,-0,-0
1.92,-0,-0,-0,-0,-0,-0
1.93,-0,-0,-0,-0,-0,-0
1.94,-0,-0,-0,-0,-0,-0
1.95,-0,-0,-0,-0,-0,-0
1.96,-0,-0,-0,-0,-0,-0
1.97,-0,-0,-0,-0,-0,-0
1.98,-0,-0,-0,-0,-0,-0
1.99,-0,-0,-0,-0,-0,-0
2,-0,-0,-0,-0,-0,-0
2.01,-0,-0,-0,-0,-0,-0
2.02,-0,-0,-0,-0,-0,-0
2.03,-0,-0,-0,-0,-0,-0
2.04,-0,-0,-0,67.7496358361149,-21.7737744514073,653.444737469002
2.05,-0,-0,-0,70.1217518992374,-25.3747312493263,670.097043057467
2.06,-0,-0,-0,87.7844498349903,-31.6043184081821,745.273854208584
2.07,-0,-0,-0,62.2912942549499,-22.8642873697544,694.203822962509
2.08,-0,-0,-0,45.7279976089905,-29.8310212195129,576.215987070176
2.09,-0,-0,-0,59.0892892798997,-27.6099141250913,672.186794290996
2.1,-0,-0,-0,55.8353443863732,-25.906060909402,669.862940285088
2.11,-0,-0,-0,52.8171308018424,-23.7582653656594,666.377676885459
2.12,-0,-0,-0,50.1610751801072,-21.2871059978215,661.821885046565
2.13,-0,-0,-0,47.9028103177891,-18.6581813316448,656.305582502259
2.14,-0,-0,-0,46.0430361719387,-15.9738445251184,649.962186211248
2.15,-0,-0,-0,44.559010638507,-13.2931424428892,642.962474853897
2.16,-0,-0,-0,43.4012339371962,-10.648026840737,635.440576460181
2.17,-0,-0,-0,26.112558042893,-14.6040663160286,523.704292855172
2.18,-0,-0,-0,39.6876830941769,1.47013668153974,645.311858021726
2.19,-0,-0,-0,59.3440481672012,-2.8624541577757,689.682868108705
2.2,-0,-0,-0,40.7861520370938,-0.0688498615748472,603.68769949555
2.21,-0,-0,-0,39.8133556235263,2.62745772592415,593.028845273191
2.22,-0,-0,-0,35.166287260229,4.59017090344238,559.051570392429
2.23,-0,-0,-0,-0,-0,-0
2.24,-0,-0,-0,-0,-0,-0
2.25,-0,-0,-0,-0,-0,-0
2.26,-0,-0,-0,-0,-0,-0
2.27,-0,-0,-0,-0,-0,-0
2.28,-0,-0,-0,-0,-0,-0
2.29,-0,-0,-0,-0,-0,-0
2.3,-0,-0,-0,-0,-0,-0
2.31,-0,-0,-0,-0,-0,-0
2.32,-0,-0,-0,-0,-0,-0
2.33,-0,-0,-0,-0,-0,-0
2.34,-0,-0,-0,-0,-0,-0
2.35,-0,-0,-0,-0,-0,-0
2.36,-0,-0,-0,-0,-0,-0
2.37,-0,-0,-0,-0,-0,-0
2.38,-0,-0,-0,-0,-0,-0
2.39,-0,-0,-0,-0,-0,-0
2.4,-0,-0,-0,-0,-0,-0
2.41,-0,-0,-0,-0,-0,-0
2.42,-0,-0,-0,-0,-0,-0
2.43,-0,-0,-0,-0,-0,-0
2.44,-0,-0,-0,-0,-0,-0
2.45,-0,-0,-0,-0,-0,-0
2.46,-0,-0,-0,-0,-0,-0
2.47,-0,-0,-0,-0,-0,-0
2.48,-0,-0,-0,-0,-0,-0
2.49,-0,-0,-0,-0,-0,-0
2.5,-0,-0,-0,-0,-0,-0
2.51,-0,-0,-0,-0,-0,-0
2.52,-0,-0,-0,-0,-0,-0
2.53,-0,-0,-0,-0,-0,-0
2.54,-0,-0,-0,-0,-0,-0
2.55,-0,-0,-0,-0,-0,-0
2.56,-0,-0,-0,-0,-0,-0
2.57,-0,-0,-0,-0,-0,-0
2.58,-0,-0,-0,-0,-0,-0
2.59,-0,-0,-0,-0,-0,-0
2.6,-0,-0,-0,-0,-0,-0
2.61,-0,-0,-0,-0,-0,-0
2.62,-0,-0,-0,-0,-0,-0
2.63,-0,-0,-0,-0,-0,-0
2.64,-0,-0,-0,-0,-0,-0
2.65,-64.551334320433,-69.6052209674704,667.710796028011,-0,-0,-0
2.66,-9.23414713869656,-22.8848518966425,484.92325427124,-10.3544073193807,7.02172324137738,226.792878545931
2.67,-15.8781205557641,-31.5510875826475,513.276897129637,-9.74464606513165,6.89401210706333,193.135607039334
2.68,-25.817078818515,-41.8177771195977,551.27188083565,-7.49917863384377,5.68477608163156,147.105329768551
2.69,-32.6470175503749,-49.8688761111314,581.402427088872,-4.88223941284362,4.02333137431291,108.024015049429
2.7,-40.2424373562224,-55.4020315925118,608.524847680988,-3.25977160104097,2.75550235646233,71.2068658284624
2.71,-57.7930310474553,-67.6995155405287,668.491660600981,-0,-0,-0
2.72,-55.1823588932812,-64.1979470477144,661.278347330301,-0,-0,-0
2.73,-52.8187003831098,-60.5419710455626,654.797025609841,-0,-0,-0
2.74,-50.7630873517887,-56.7347203571421,649.103490795253,-0,-0,-0
2.75,-49.0503845670349,-52.6913923171753,643.832562298774,-0,-0,-0
2.76,-47.6712838371589,-48.4260325783257,638.737560106391,-0,-0,-0
2.77,-46.5551982929548,-44.2374063273519,634.35580516839,-0,-0,-0
2.78,-45.7111208417133,-39.7799387090829,629.384650448025,-0,-0,-0
2.79,-45.0255780280422,-35.4989701359377,624.872779911069,-0,-0,-0
2.8,-44.5046051208074,-31.0715045645114,619.666867707476,-0,-0,-0
2.81,-44.0749256057434,-26.7537396942255,614.464825799137,-0,-0,-0
2.82,-43.7120509551705,-22.6064211751643,609.487487352689,-0,-0,-0
2.83,-43.4869389552185,-18.373536616829,604.041629254499,-0,-0,-0
2.84,-43.3953719692475,-14.3025880318998,599.121955569416,-0,-0,-0
2.85,-43.4850361713248,-10.325538930327,594.715069183498,-0,-0,-0
2.86,-43.7813664707173,-6.35379172208372,590.680880975108,-0,-0,-0
2.87,-44.2619294238872,-2.36651638233241,587.008232836473,-0,-0,-0
2.88,-44.8192210537061,1.41221308947689,584.347103896756,-0,-0,-0
2.89,-45.4456819869248,5.16148813653287,582.008269225381,-0,-0,-0
2.9,-46.0854061882454,8.81915798249388,580.019148224243,-0,-0,-0
2.91,-46.6773363406332,12.260533367779,578.534874793921,-0,-0,-0
2.92,-47.1946156115772,15.4310969008386,577.441903263844,-0,-0,-0
2.93,-47.6614325834802,18.3819489599143,576.27800172478,-0,-0,-0
2.94,-48.0574672214718,20.9560424652798,575.174846425074,-0,-0,-0
2.95,-48.4046332366974,23.098505641057,573.968655075391,-0,-0,-0
2.96,-48.7669918994371,24.8988447890681,572.190238945051,-0,-0,-0
2.97,-49.0722992910689,26.2749172369918,570.259220696523,-0,-0,-0
2.98,-49.331165108962,28.0486161983526,567.000995738089,-0,-0,-0
2.99,-49.1331108568333,31.4532249915559,563.007513894491,-0,-0,-0
3,-47.9823822645695,39.0215056724043,560.293333451346,-0,-0,-0
3.01,-46.1312970529091,52.0994928394555,565.946328474992,-0,-0,-0
3.02,-45.8295362472627,65.6461024841811,586.943405379213,-0,-0,-0
3.03,-48.8014658403514,72.33942486351,616.376016823632,-0,-0,-0
3.04,-53.5918230168261,72.001626787089,641.10975399187,-0,-0,-0
3.05,-58.1682028415812,69.0736957842264,656.513896236448,-0,-0,-0
3.06,-61.7834594775836,66.2744955676618,664.651530522767,-0,-0,-0
3.07,-64.4402324037239,64.7714961826137,668.413259852709,-0,-0,-0
3.08,-66.3922335441505,64.9232649198848,669.763600610861,-0,-0,-0
3.09,-67.8601999568801,67.0605495045722,670.141727517262,-0,-0,-0
3.1,-69.0824379845238,71.2772198405164,670.433316359313,-0,-0,-0
3.11,-70.215717971291,77.5645585402522,671.233619957478,-0,-0,-0
3.12,-71.3426775165733,85.7517386761191,672.839494980245,-0,-0,-0
3.13,-72.5051845664388,95.5263805848587,675.353824051871,-0,-0,-0
3.14,-73.6446320808445,106.458674629221,678.657957189332,-0,-0,-0
3.15,-74.6493618417808,117.977475440457,681.846744480177,-0,-0,-0
3.16,-72.955914055102,124.969469727347,672.597081510077,-0,-0,-0
3.17,-0,-0,-0,-0,-0,-0
3.18,-0,-0,-0,-0,-0,-0
3.19,-0,-0,-0,-0,-0,-0
3.2,-0,-0,-0,-0,-0,-0
3.21,-0,-0,-0,-0,-0,-0
3.22,-0,-0,-0,-0,-0,-0
3.23,-0,-0,-0,-0,-0,-0
3.24,-31.2879785595028,38.7585680131223,433.626051678928,-0,-0,-0
3.25,-98.7315756273883,103.818840115484,718.903631200038,-0,-0,-0
3.26,-99.4221851838134,105.365704204359,711.998044006922,-0,-0,-0
3.27,-99.5762140957236,105.51735801248,701.982305070639,-0,-0,-0
3.28,9.75802821973226,-6.12979157440548,276.041753570566,-9.61858382659171,-13.4985363982885,450.385324558762
3.29,-4.01037549179908e-10,33.522644043815,67.0452880707749,-64.1074661209356,154.294511284226,436.803954790145
3.3,-0,-0,-0,128.651150766415,-182.22185021122,749.853803255761
3.31,-0,-0,-0,213.888652447011,-392.452311901694,1274.27502134075
3.32,-0,-0,-0,54.3367076162278,-90.4967026393581,700.112384578328
3.33,-0,-0,-0,51.4769649698844,-86.6344862017506,694.913309912477
3.34,-0,-0,-0,48.8976110518441,-82.6824763080728,689.24460802761
3.35,-0,-0,-0,46.5871154800264,-78.6980084872419,682.946480741288
3.36,-0,-0,-0,44.5797010592181,-74.6864866199057,676.037830012077
3.37,-0,-0,-0,42.8398352655363,-70.7448232217325,668.60635343967
3.38,-0,-0,-0,41.3903539283131,-66.737509701526,660.700446938079
3.39,-0,-0,-0,40.1888302490023,-62.749694945924,652.465041313283
3.4,-0,-0,-0,39.2288238162952,-58.7598821450636,644.026129718066
3.41,-0,-0,-0,38.4854118003749,-54.790430634228,635.537270725508
