Time,Angle_HipFlexion,Angle_HipAbduction,Angle_KneeFlexion,Angle_AnklePlantarFlexion,Angle_ElbowFlexion,Angle_WristFlexion
0.42,-13.0591256710718,-0.761523353262461,13.5507259704033,-10.5861558525398,17.3470323414559,-53.9860784258387
0.43,-13.0289628242819,-0.758000155456731,13.5646713273136,-10.57449225492,17.3201003658551,-53.9766416343511
0.44,-12.9984249534774,-0.755323501079835,13.5777424727411,-10.5653803101921,17.29443954181,-53.9648957363711
0.45,-12.9674360463769,-0.753807629497985,13.5900054321056,-10.5589126014523,17.2701023264586,-53.9513993125027
0.46,-12.9359604854982,-0.7537392337923,13.6014858198965,-10.5549389401576,17.2471420312945,-53.9367358000682
0.47,-12.9040144291355,-0.75536947155723,13.6121595716535,-10.5530964264848,17.2256117173835,-53.9214986589469
0.48,-12.8716729750844,-0.758912425182874,13.6219479040226,-10.5528551835682,17.2055624955789,-53.9062759622138
0.49,-12.8390757125446,-0.764539258400933,13.630717216384,-10.5535752719478,17.1870414105187,-53.8916345733008
0.5,-12.8064270287288,-0.772372228493013,13.6382837187339,-10.5545670757939,17.1700891380407,-53.8781039615582
0.51,-12.7739857048767,-0.782486009063866,13.644422005108,-10.5551470491914,17.1547377312373,-53.8661598145967
0.52,-12.7420439390998,-0.794917926772978,13.6488767993664,-10.5546843304676,17.1410086113924,-53.8562080704336
0.53,-12.7109024057959,-0.809680890685797,13.6513774587068,-10.5526383909232,17.1289109219545,-53.8485704278361
0.54,-12.6808487674431,-0.826770893622028,13.6516550544421,-10.5485901916387,17.118440329183,-53.8434724525896
0.55,-12.6521428719193,-0.846165591269262,13.6494615761333,-10.5422685249509,17.1095784159091,-53.8410351202978
0.56,-12.6249933835526,-0.867817646482004,13.64459287165,-10.5335685940049,17.1022866254504,-53.8412857812123
0.57,-12.5995522127257,-0.891647962568253,13.6369072605965,-10.5225638655789,17.0965067255615,-53.8441578100546
0.58,-12.576035618673,-0.917536982593499,13.6263169144799,-10.509527072493,17.0922178386457,-53.8493545179205
0.59,-12.5544856273798,-0.945336188360995,13.6128521420525,-10.4948909963396,17.0893427941567,-53.8566040459161
0.6,-12.5349049870727,-0.974868451565844,13.5966389886051,-10.4792406177145,17.0878021049824,-53.8655335145337
