Time,Right_Fx,Right_Fy,Right_Fz,Right_Mx,Right_My,Right_Mz,Left_Fx,Left_Fy,Left_Fz,Left_Mx,Left_My,Left_Mz
3.03,11.9399493266625,24.5174143454552,394.09255668647,-273.163858011234,93.4433040844913,2.10644311650519,-14.3008145325337,-24.3004709989801,266.390310301051,-100.280929805549,58.0565999532843,-3.53949358049979
3.04,11.9966852340636,24.5341716334778,385.994037101554,-267.381579462373,91.5785231888703,2.11761303752833,-14.9126757286489,-24.7317410354968,274.903244753684,-103.591005208033,59.8716421904888,-3.73577628423493
3.05,12.1139649020214,24.5906892969527,377.838031660667,-261.647548117378,89.7531558625742,2.15681431757583,-15.4394147470537,-25.0838525699476,283.693598883708,-107.035583186206,61.7882723821888,-3.91241049722968
3.06,12.2787988652177,24.5458429796161,369.189745297061,-255.528470423454,87.8097185972555,2.24556787881232,-15.9228785226386,-25.4526894241783,293.026899781645,-110.687773728977,63.8318896720545,-4.05498989044772
3.07,12.4298456949015,24.5109113597958,361.067639613494,-249.79040722644,86.0014673438853,2.31641199050574,-16.314275418952,-25.6543570146842,302.00267486152,-114.223272770618,65.8189421009106,-4.19230078818901
3.08,12.6219302603256,24.410147916483,352.801230794581,-243.926844576018,84.1628271669583,2.42636484955047,-16.6710049651904,-25.8221364111895,311.199469704375,-117.851604475023,67.8687740136107,-4.31679814231806
3.09,12.8153288064683,24.2331405625643,344.439848385937,-237.961655450024,82.2969551088857,2.55021753935636,-16.9662584339117,-25.9476125225453,320.595824042106,-121.566161550985,69.9805670447967,-4.42170748477444
3.1,13.0417391196067,24.0105659329168,336.0063572205,-231.920711117219,80.415842176218,2.70694694941932,-17.2318085722964,-26.0567589557402,330.13558658724,-125.346526085257,72.1405296877737,-4.50778396750933
3.11,13.2594027889884,23.7835189353619,328.363407709472,-226.395448349748,78.7136757888227,2.85417087557053,-17.4656343487519,-25.994685663472,338.999406040226,-128.885729149945,74.1616192454119,-4.61685138227071
3.12,13.517766572016,23.3971035132094,319.826030512622,-220.198294395493,76.7976510866862,3.06158751572814,-17.7019713846602,-26.0527022022031,348.688971559165,-132.735298544703,76.3714280829742,-4.68502497652921
3.13,13.7668359489018,22.9706189502149,311.715881967536,-214.267104978609,74.9773912490199,3.26753445137248,-17.9203049295628,-26.0029728770023,358.002209436099,-136.459001561582,78.511744744545,-4.76410544310388
3.14,14.0031608040895,22.4913082921875,304.096404248478,-208.629243078912,73.2612332024033,3.47182465466279,-18.1335911911296,-25.8354432968112,366.856959748946,-140.025974661367,80.5597979481938,-4.86140931379842
3.15,14.240406453843,21.8478517845051,296.0642618672,-202.62055908526,71.4226016385432,3.70930920805915,-18.3671888464788,-25.7064503376538,376.021223100574,-143.714631108439,82.6768562780054,-4.94452279999126
