Time,Moment_ElbowFlexion,Moment_ElbowPronation,Moment_WristAbduction,Moment_WristFlexion,Force_ElbowHumeroUlnar_AnteroPosteriorForce,Force_ElbowHumeroUlnar_AxialMoment,Force_ElbowHumeroUlnar_LateralMoment,Force_ElbowHumeroUlnar_MedioLateralForce,Force_ElbowHumeroUlnar_ProximoDistalForce,Force_WristRadioCarpal_AxialMoment,Force_WristRadioCarpal_DorsoVolarForce,Force_WristRadioCarpal_ProximoDistalForce,Force_WristRadioCarpal_RadialForce
1.12,0.402661338,0.01975586,-0.017416841,-0.152232479,-1.33631549,-0.039631659,0.1582686,0.147635293,5.56077408,-0.017716569,-0.623153777,3.837524604,-0.403169669
1.13,0.393673531,0.019387913,-0.017911377,-0.152209957,-1.28592982,-0.039604272,0.159902525,0.137568491,5.548522292,-0.018203892,-0.617699917,3.833424182,-0.414245557
1.14,0.383018388,0.018895767,-0.018530267,-0.152178504,-1.228315228,-0.03968497,0.16218285,0.123656698,5.533191399,-0.018806705,-0.610176218,3.827935264,-0.427761488
1.15,0.370679353,0.018272505,-0.019279661,-0.152139728,-1.163653367,-0.039885756,0.165149327,0.105652075,5.514781217,-0.019530033,-0.600483842,3.821057916,-0.44381354
1.16,0.356603712,0.017504275,-0.020174141,-0.152095122,-1.091963925,-0.04021001,0.1687723,0.083748162,5.493367448,-0.020387837,-0.588588818,3.812822207,-0.462644421
1.17,0.340832803,0.016589326,-0.021215532,-0.152049105,-1.013682976,-0.040666176,0.173073972,0.057796115,5.469111842,-0.021381092,-0.574475639,3.803334813,-0.48427254
1.18,0.323427382,0.015525153,-0.02240691,-0.152006465,-0.92931609,-0.041257116,0.178034164,0.027906654,5.442273734,-0.022512523,-0.558202171,3.792750071,-0.508729786
1.19,0.304491012,0.014314545,-0.023746304,-0.151973931,-0.839533044,-0.041984355,0.183635586,-0.005820648,5.413194974,-0.023779951,-0.539864003,3.781283471,-0.535960835
1.2,0.284168036,0.0129651,-0.025227092,-0.151959952,-0.745149865,-0.042847357,0.189859192,-0.043264969,5.382295701,-0.025176786,-0.519596727,3.769207305,-0.565828899
1.21,0.262644092,0.011489341,-0.026837701,-0.15197455,-0.64712419,-0.043843542,0.19668592,-0.084293483,5.350064534,-0.026691755,-0.497572376,3.756845062,-0.598109821
