Time,Moment_ElbowFlexion,Moment_ElbowPronation,Moment_WristAbduction,Moment_WristFlexion,Force_ElbowHumeroUlnar_AnteroPosteriorForce,Force_ElbowHumeroUlnar_AxialMoment,Force_ElbowHumeroUlnar_LateralMoment,Force_ElbowHumeroUlnar_MedioLateralForce,Force_ElbowHumeroUlnar_ProximoDistalForce,Force_WristRadioCarpal_AxialMoment,Force_WristRadioCarpal_DorsoVolarForce,Force_WristRadioCarpal_ProximoDistalForce,Force_WristRadioCarpal_RadialForce
0.42,0.00013684040279408,-0.00083239400417095,-7.96967122947358e-05,-0.000302371538410051,0.0155578414591757,0.00286563449650734,0.00399383938393345,-0.0318866433155178,-0.0269873683220947,0.000453657063691675,0.0117824605659207,-0.0174177653552845,0.000561458774176307
0.43,0.000168400528546832,-0.000900975465616854,-7.94873187018151e-05,-0.000191453147443007,0.0132287840892502,0.00218761006686846,0.00245820045290026,-0.0224804435224115,-0.0233312335505076,0.000521470321461543,0.00874402970801214,-0.015259137497992,0.000293153311337946
0.44,0.00049844570328445,-0.000787635702498223,-2.81303474629873e-05,-0.000246381671582836,0.0128883705151566,0.00228762919908518,0.00282952515622836,-0.024128839626421,-0.0211915558963227,0.000434096168828312,0.00929916741212367,-0.0134886180123885,-0.000419168054289543
0.45,0.000758135956748969,-0.000726952233759617,1.60574867933235e-05,-0.000246299387883091,0.0119349375804534,0.00213228993104964,0.00258094558534537,-0.0221917830496166,-0.0187387444412206,0.000390874459441279,0.00870681234762394,-0.0117088844490718,-0.00113836633228176
0.46,0.00105946846881988,-0.000663575842823401,6.93003675926993e-05,-0.000240470646517898,0.0111664379473297,0.00195464570182964,0.00228283605925164,-0.0199636541693411,-0.0163517686468078,0.000343954877363363,0.00804525567268968,-0.0100559493638972,-0.00202351195663741
0.47,0.00134268882634342,-0.000498025193275846,0.000144129267925449,-0.000306303766035354,0.0104723842978529,0.00212741067116863,0.00291459797792371,-0.0230612166743827,-0.0155222382480549,0.000216879939824112,0.00905754864514557,-0.00892027354004954,-0.00297706618103124
0.48,0.00194534112800911,-0.000624536340611966,0.00019721906784297,-0.000134725592548725,0.011072312421021,0.00117651672154865,0.00058606318119456,-0.00922983545152078,-0.0100742165172818,0.00030888181411161,0.00483397101746164,-0.00682955004867836,-0.00453736127613347
0.49,0.00242108192687122,-0.000464881732447606,0.000291910653338112,-0.000191257928324926,0.0115993050897034,0.00132763759187668,0.00112757019126615,-0.0119464050170435,-0.00901678638852932,0.000178361618619733,0.0057603860236759,-0.00593575902356092,-0.00591452368535407
0.5,0.00307843641880234,-0.000398278829016784,0.000385228073792285,-0.000176545265820803,0.0131213562911574,0.00115415468464898,0.000781359028529809,-0.00969746650869219,-0.00639846996639459,0.000113923016421296,0.00514542182606853,-0.00480456818445951,-0.00760120374985161
0.51,0.00384308729363727,-0.000334743035936037,0.000484555140434368,-0.000167049889557367,0.0154018196703231,0.00101856846754178,0.000489304920233122,-0.00789397801355829,-0.00357830631131062,4.70198530151595e-05,0.00466667646745272,-0.00371179168011126,-0.00942800512446818
0.52,0.00470545843281134,-0.00027472322183426,0.000587492667545137,-0.000164817790469017,0.0184034155833852,0.000928350151705417,0.000267787439513144,-0.00661343437782813,-0.000539477772011132,-2.1649049294315e-05,0.00435416414906342,-0.00262744325837838,-0.011351992936564
0.53,0.00564135767984421,-0.00021960070601931,0.000689468829819328,-0.000172666620099087,0.0219622355508076,0.000893200011590034,0.000138084642280892,-0.00596975043450598,0.00276772662678049,-9.00087961414245e-05,0.00423332344538618,-0.00145840941899422,-0.013288807921916
0.54,0.00662538009618658,-0.000171004601810835,0.000786924358742028,-0.000193370935037956,0.0259585106112019,0.000925678841555754,0.000126978389062943,-0.00611701497285067,0.00626580035513236,-0.000156183665773314,0.00435508124752215,-0.000201070437555018,-0.0151695496841109
0.55,0.0076241650301303,-0.000130707563898936,0.00087539670886095,-0.000230691323225898,0.0302150626888746,0.00104353201275796,0.000272848430632841,-0.00729046260227628,0.00986052459778719,-0.000217959358245133,0.00478593876091832,0.00116334389498762,-0.0169051800821019
0.56,0.00859629976754822,-0.000100197701482405,0.000950339279462177,-0.000287256667035401,0.034506087010622,0.00125943522079625,0.000605534787516241,-0.0096667063518403,0.0134237238195674,-0.000273013981544747,0.00557401145659336,0.00263752565265607,-0.0184028354415416
0.57,0.00947733693041975,-0.00026718164171638,0.000979776600958358,-0.000202804922728844,0.0381466888967388,0.000785609440475323,-0.000874996521577997,-0.00143836849468215,0.0190887382464933,-0.000170592196296418,0.00318796453725873,0.00464445162298155,-0.0196754320330523
0.58,0.010272104354657,0.000111150819666469,0.00106942271224325,-0.000612648010939856,0.0423803067623891,0.00273941682075313,0.00378683533717767,-0.0294286744637922,0.0177036953826262,-0.000498442261401191,0.0116110625633105,0.00547323087254359,-0.0202292858813444
0.59,0.0108589247617519,-7.21309858735064e-05,0.00105442936830654,-0.000561611621238205,0.0446492414089619,0.00243132642163251,0.00266344020339905,-0.0233148828419871,0.0226503982314767,-0.000375983381018531,0.00983512117893781,0.00763585777497156,-0.0206466943541876
0.6,0.0112858597332299,-8.42281577553617e-05,0.00104396778048216,-0.000674592387339582,0.0464419561047655,0.00292468719895112,0.00357092091792822,-0.0290932218253057,0.0249586934071653,-0.000384545948086599,0.0116271702011894,0.00939691143461108,-0.0205432301435117
0.61,0.0115699901426534,-0.000105579305618084,0.00101595593984352,-0.000792549143365135,0.0475680972549615,0.00343717797633316,0.00452137246836892,-0.0350282981128296,0.0268639717938273,-0.000381821277012219,0.0135089908539106,0.0111110792415419,-0.0201129558079679
0.62,0.0117614543821602,-0.000136019905757471,0.000976603111154169,-0.000911888569000617,0.0483387991659499,0.00394922997471503,0.0054659446928105,-0.0408214689669566,0.0284381659090549,-0.000369648817644441,0.0154250872268729,0.0127102380334367,-0.019483803901224
