Time,Fout_X,Fout_Y,Fout_Z
3.03,2.62349272502174,7.73497307303494,23.5055612430067
3.04,2.67718250256158,7.78951554053141,23.5842921694609
3.05,2.82982295492317,7.79518122596335,23.6223191624807
3.06,2.80198060026349,7.94489320066611,23.7503637737162
3.07,2.87576959072627,8.01552743082117,23.893416916775
3.08,2.91814499777498,8.14943625232529,24.0786175853673
3.09,2.96736606634203,8.34864252198003,24.2644888819488
3.1,2.98352293695914,8.57969013306078,24.4466001433527
3.11,3.1604201147996,8.6974790312399,24.6108236608778
3.12,3.11427258273419,9.01427838877723,24.8085257040719
3.13,3.20646470271725,9.26800641778297,24.9815424857559
3.14,3.44134729084292,9.45172188500362,25.1289025896175
3.15,3.52926191933866,9.75163727332799,25.2891621963822
3.16,3.70158730012776,10.0316048837568,25.4235086848589
3.17,3.96196045211575,10.2852117707034,25.5315461661247
3.18,4.08522416905928,10.6601544918492,25.6364621964332
3.19,4.42000267975159,10.927843634004,25.6966253866091
3.2,4.73563775175858,11.2317854207207,25.7399212789514
3.21,5.09060971372257,11.5484851829724,25.7569012360005
3.22,5.41699166672161,11.9113334968567,25.7553826969789
3.23,6.01517448563188,12.1075547942698,25.7126322933841
3.24,6.2567052307812,12.5565207557832,25.6758210970831
3.25,6.93687173536854,12.7184417267156,25.5889148754071
3.26,7.23470312302774,13.110461656001,25.515369923899
3.27,7.92938910925068,13.2524415161095,25.4193755223922
3.28,8.25721644260762,13.5780026319101,25.337545543979
3.29,8.7619219068183,13.7873595551649,25.2285451833583
3.3,9.3417988841727,13.8996088657876,25.1171708670221
3.31,9.58070068287158,14.0982998704206,25.0191927481013
3.32,9.90971438728833,14.0955552726924,24.9351960943946
3.33,10.2297926625329,13.9529351251193,24.8741734649166
3.34,10.3316722319855,13.7562539905514,24.8450658515932
3.35,10.236266947918,13.4582824832297,24.8552898281305
3.36,10.1226440707001,12.9552210218949,24.9056745750159
3.37,10.0033687036728,12.2562311372762,25.0056159259841
3.38,9.46331397417122,11.65911588626,25.1476877321548
3.39,9.23965586231412,10.8026690075766,25.3193224227477
3.4,8.65667503396822,10.12717140091,25.5040437810469
3.41,8.20163903334478,9.41452767436999,25.7088564349435
3.42,7.85366732467609,8.70832489329308,25.9183083343679
3.43,7.30272000346491,8.1609706667531,26.1424287238391
3.44,6.89420313018509,7.59601031440203,26.3663959208684
3.45,6.41736515253073,7.12552658281208,26.6058822324021
3.46,6.08762898358893,6.64586772159366,26.8554244779837
3.47,5.65999460870402,6.2729960333743,27.1056831300286
3.48,5.29617456820295,5.91503408222114,27.3491880652768
3.49,5.0074686699811,5.57124501327129,27.5816346321404
3.5,4.63660365395039,5.33479070891892,27.8050525467871
3.51,4.41337303740575,5.06817650836864,27.9971047894715
3.52,4.20880747867157,4.88736261272918,28.163879652811
3.53,4.07097039307459,4.79571775669024,28.3134843290696
3.54,3.99721733169108,4.75315688289561,28.4315031570994
3.55,3.98482233790909,4.76066765639619,28.5251693391779
3.56,4.03602639808242,4.82023553230942,28.5947179345356
3.57,4.16077381068021,4.93181300362183,28.6283543427652
3.58,4.36901772758864,5.1251909613086,28.6362382907793
3.59,4.63800228437155,5.37276898667695,28.6312246584209
3.6,4.95658295744268,5.65584365861182,28.6194454186709
3.61,5.31138387576879,5.95735495997076,28.6118755967255
3.62,5.67901771808373,6.26067381671506,28.6239553035902
3.63,5.98588111203873,6.55514056062532,28.6865201355284
3.64,6.3338713615341,6.68868542390899,28.8366570053876
3.65,6.41778808624763,6.73640528147041,29.0932625588779
3.66,6.60950778770143,6.68174258918554,29.2511514301825
3.67,6.94793704400404,6.84411694512743,29.1348510856175
3.68,7.54569835430881,6.85053931594992,29.0094569986759
3.69,7.88082933889993,6.98105882726208,28.8863418584674
3.7,8.3319986900989,7.00252516833864,28.7685700393025
3.71,8.86713953646347,6.97585095443796,28.6459389544515
3.72,9.20023230954305,7.0128144630797,28.5325532832651
3.73,9.59940956893201,6.98920946045493,28.4286706035719
3.74,10.0762060128595,6.89742976451594,28.3382333083093
3.75,10.4207939041207,6.84671752660438,28.2605020225898
3.76,10.772467975618,6.76002688794869,28.2078125872386
3.77,11.0709870553667,6.68315523989759,28.213262434962
3.78,11.3432457955592,6.57349189639182,28.234255059651
3.79,11.5839616892688,6.42167374184488,28.2737410131436
3.8,11.7874377082169,6.21950733774272,28.337506643993
3.81,11.9502388649202,5.95726066403971,28.4252872146994
3.82,12.0660567354014,5.62012300640952,28.5397148118767
3.83,12.1703820313707,5.1926395788129,28.6808852510014
3.84,12.1301068180581,4.74762085424596,28.8387342058479
3.85,12.1655247081193,4.18749441586142,29.0231181538282
3.86,12.139061859997,3.5991454769972,29.2199935345417
3.87,12.0914859544895,2.97501131639235,29.4270886476516
3.88,12.0284505114263,2.3279234792824,29.6398309536062
3.89,11.9224378445807,1.60981051088867,29.8688101412071
3.9,11.7671949783591,0.918554414496316,30.0714666538292
3.91,11.558009685755,0.228340939096209,30.2564630168806
3.92,11.3591960564757,-0.41486906840663,30.4272250941433
3.93,11.1486691368706,-0.985272736710278,30.5787751171778
3.94,11.0459972516789,-1.52388229034784,30.7111479583994
3.95,10.863764587375,-1.95195857161439,30.8194468560853
3.96,10.7247428139641,-2.32178281168353,30.9083099181853
3.97,10.5911535155008,-2.62452715172774,30.9783309363776
3.98,10.4562936416599,-2.86752094840659,31.031629049195
3.99,10.3153073005525,-3.0580891697972,31.0698481894631
4,10.1636575305509,-3.20257691783282,31.0947106364889
4.01,10.0001609850413,-3.3098585044709,31.106867969434
4.02,9.82417183368351,-3.38335511012456,31.1063583222501
4.03,9.63641957726469,-3.4146780501899,31.0876544503455
4.04,9.44276019317918,-3.40772808767834,31.0329667822552
