Time,Moment_AnklePlantarFlexion,Moment_HipAbduction,Moment_HipExternalRotation,Moment_HipFlexion,Moment_KneeFlexion,Force_Ankle_AnteroPosteriorForce,Force_Ankle_AxialMoment,Force_Ankle_MedioLateralForce,Force_Ankle_ProximoDistalForce,Force_Hip_AnteroPosteriorForce,Force_Hip_MediolateralForce,Force_Hip_ProximoDistalForce,Force_Knee_AnteroPosteriorForce,Force_Knee_AxialMoment,Force_Knee_LateralMoment,Force_Knee_MedioLateralForce,Force_Knee_ProximoDistalForce
1.29,7.70877959,-2.30409079,-0.507574337,4.257325305,-0.431252837,152.404173,-0.480007911,-520.4003201,83.18389558,37.33691167,-51.68106165,282.2466789,-36.27525779,-0.056978829,-9.770014689,-17.12247146,-287.0668478
1.3,9.271740324,10.82383379,-4.094181566,5.535670165,1.264869936,186.8888596,0.19968474,-627.797739,118.8411222,24.87857128,-50.43534569,394.529966,-33.64484925,0.213348848,-6.37462394,-9.389043468,-354.2547932
1.31,8.906116995,27.39733266,-8.091676864,7.079214675,2.574294116,215.7176888,1.322827166,-695.6888548,179.3844039,13.83044846,-109.6062734,713.3778419,-46.78780416,1.143972125,-0.986276735,-0.873889505,-457.3446708
1.32,8.798544292,28.43334195,-8.240540966,7.231197669,2.660162136,217.6199407,1.513438752,-699.9213054,185.5727406,11.24863315,-115.4255214,734.4093139,-47.05068271,1.302719983,-0.617500184,-0.263863744,-462.8658013
1.33,8.657720439,28.6450474,-8.193343439,7.49069093,2.566765976,218.7946983,1.633580719,-701.852964,189.8887744,8.915495001,-117.3200528,736.7033695,-46.78140504,1.38649149,-0.543099429,0.156942269,-460.5612839
1.34,8.559185399,28.82324875,-8.140190456,7.781256269,2.471779625,219.9571653,1.756583136,-704.1489968,193.6783071,6.569802691,-118.8647864,738.526831,-46.534837,1.469865907,-0.489611652,0.565751009,-458.5302381
1.35,8.585335869,28.95325869,-8.080919142,8.083526228,2.421175761,220.8404801,1.887868064,-706.8978664,195.6041509,4.399274308,-119.3967933,741.7861867,-46.08402345,1.556894066,-0.38916327,0.965004535,-459.2307498
1.36,8.626295814,29.04537776,-8.014449696,8.401269087,2.359256456,221.7147142,2.020317294,-709.8165885,197.2455503,2.234082135,-119.7107695,744.2277357,-45.61989348,1.64182396,-0.306399803,1.350354156,-459.6444578
1.37,8.683927254,29.09626105,-7.947417725,8.716629494,2.29432916,222.4960736,2.147730679,-712.7265961,198.4468361,0.195496628,-119.7675547,745.8945869,-45.15810783,1.719417953,-0.247848289,1.682088082,-459.9779001
1.38,8.783862904,29.11230286,-7.880407693,8.995646808,2.253848133,223.1695359,2.276125971,-715.9807181,198.9560371,-1.795742618,-119.6729482,750.3721979,-44.41136776,1.790704409,-0.163547944,1.858463349,-462.3651628
1.39,8.888074535,29.08170336,-7.810570725,9.256474868,2.209393008,223.7840729,2.399243077,-719.2805153,199.2549293,-3.630243169,-119.4213748,754.3695734,-43.61302907,1.852988939,-0.094828071,1.988087808,-464.6411028
1.4,8.988957766,29.00278797,-7.736598889,9.497032399,2.158582188,224.2959069,2.516601303,-722.4157501,199.3585455,-5.539956039,-119.3491783,757.1132011,-42.81655075,1.907973548,-0.054331596,2.062258559,-466.3623355
1.41,9.088654753,28.87676961,-7.659280072,9.708976535,2.10695658,224.6962884,2.627959879,-725.401287,199.2548821,-7.288096002,-119.2231861,758.4828597,-42.05721133,1.9560846,-0.045863748,2.072816432,-467.6562923
1.42,9.175568987,28.70171807,-7.584618674,9.88124735,2.055075378,224.9653032,2.725417608,-728.0888328,199.0193694,-8.698866455,-118.7684561,758.4117921,-41.33865881,1.989989084,-0.064287749,2.028622096,-468.4695428
1.43,9.249992507,28.46942276,-7.513132042,10.01441181,2.003415547,225.0889831,2.804917395,-730.4300386,198.602575,-9.704482395,-117.9108025,756.8179547,-40.65907322,2.006230302,-0.113252472,1.919410513,-468.8359595
1.44,9.310795314,28.19366464,-7.449820688,10.11216756,1.953712156,225.0903492,2.864558295,-732.4509707,198.0581682,-10.23612285,-116.6914131,754.0462179,-40.03013685,2.003408736,-0.188180882,1.75232989,-468.8596143
1.45,9.358023516,27.88928964,-7.397404434,10.18137359,1.907518986,225.0043016,2.905111019,-734.2214259,197.4568696,-10.33056748,-115.1600263,750.4660824,-39.46034738,1.982501234,-0.282683673,1.535758974,-468.7070778
1.46,9.409910943,27.57036539,-7.35384308,10.23955537,1.869869508,224.8866772,2.933439833,-736.0235136,196.6941657,-10.11704184,-113.4149233,746.6257877,-38.96997325,1.950061093,-0.396219568,1.267730634,-468.7979308
1.47,9.483571829,27.25639334,-7.316671901,10.3105913,1.84311311,224.7946846,2.958323703,-738.1162125,195.699771,-9.76782209,-111.613963,743.2251643,-38.55966075,1.913877689,-0.521827909,0.960565295,-469.4938425
1.48,9.604041051,26.96875311,-7.279929752,10.42326782,1.83063274,224.7962902,2.993602446,-740.8565042,194.3268912,-9.510512087,-110.1432564,741.0260321,-38.23758184,1.886724108,-0.659200365,0.61164584,-471.2218076
1.49,9.782699665,26.72093528,-7.243327918,10.59658937,1.832256158,224.9202664,3.044487348,-744.3938308,192.4941639,-9.460607115,-108.9789471,740.684452,-37.98023181,1.872127027,-0.795734533,0.249807443,-474.200412
1.5,10.03463243,26.5247351,-7.20275954,10.84311656,1.851373101,225.1809173,3.120690536,-748.8840967,190.0861954,-9.776926283,-108.2807511,742.6368332,-37.79153656,1.878893178,-0.929225254,-0.117381193,-478.631467
1.51,10.35656706,26.38431128,-7.157077392,11.16040625,1.888061761,225.5553587,3.225868595,-754.2485484,187.1397912,-10.54340681,-108.0214719,746.7703396,-37.66331543,1.910283693,-1.056196499,-0.482766959,-484.4579028
1.52,10.74519902,26.29920068,-7.104956063,11.53600032,1.945822806,225.9991118,3.36347233,-760.3808893,183.670426,-11.80541677,-108.2027177,752.8023846,-37.60828651,1.969997398,-1.180059838,-0.849985801,-491.5804445
1.53,11.18142131,26.26231333,-7.048579206,11.94810093,2.024042622,226.4455846,3.530527929,-766.9881328,179.8274193,-13.51036114,-108.7562276,760.1827086,-37.62277414,2.055745936,-1.301986934,-1.219643675,-499.6479683
1.54,11.65249676,26.26586936,-6.989271855,12.3725743,2.125919157,226.8324275,3.725984588,-773.8649401,175.7095593,-15.6127964,-109.6174348,768.3303597,-37.72635756,2.167304548,-1.42883172,-1.601740423,-508.4092657
1.55,11.9245208,24.58499258,-6.818953394,12.78613266,1.924560792,224.3489922,3.446505671,-770.6410085,165.6286762,-10.80118337,-100.4318437,751.4810028,-35.89882565,1.82039057,-1.991372436,-3.014720046,-507.2053572
1.56,9.713902096,13.21042683,-5.305358177,14.43590414,-1.298744042,205.8179429,0.742482004,-691.1334539,140.3632052,33.73205316,-97.25176329,682.4324741,-35.53186437,-0.528097698,-5.744347174,-13.00794909,-447.4447356
1.57,7.122127206,8.991434912,-4.424107316,14.97002865,-3.204969862,190.779344,-0.203063813,-619.8426079,145.6791485,54.9570983,-107.8109876,656.9722846,-36.48906515,-1.316684602,-5.061691763,-12.62030803,-402.4949782
1.58,4.889774258,7.714965493,-4.167040921,13.22288412,-3.482108896,177.5241566,-0.521102947,-564.6084091,158.4470588,62.07211946,-101.1324747,577.8876185,-35.26389733,-1.553083404,-4.117477751,-10.9917708,-361.3876461
1.59,3.340840531,7.721061531,-4.10044289,11.69570986,-3.381561681,167.8009444,-0.498443828,-526.1869559,169.7560095,60.95083452,-89.35316457,516.8849306,-33.22274544,-1.510748965,-3.03109934,-8.535246201,-326.3598805
1.6,2.358728437,8.004862444,-4.130888002,10.48571601,-3.137491081,160.6764673,-0.401304664,-500.5844219,177.0727369,58.9372648,-79.72461086,470.9517413,-30.81822613,-1.435218326,-2.209330605,-6.54231698,-300.0889784
1.61,1.713222928,8.23298823,-4.161274271,9.523059412,-2.869814723,155.3913155,-0.274865339,-483.598866,181.9854099,56.93012133,-72.02919674,435.2146417,-28.6536414,-1.351405164,-1.652499583,-5.097376962,-280.4130318
1.62,1.350598169,8.269564983,-4.152874688,8.741079892,-2.589165987,151.1306681,-0.136792624,-472.4208865,184.1627,55.27696987,-66.08039665,406.0085506,-26.75319326,-1.269463516,-1.366254048,-4.194529765,-265.4102503
1.63,1.115304272,8.1979764,-4.123352489,8.134099028,-2.353297147,147.5273076,-0.000605836,-464.2872698,185.0889389,53.99305153,-61.64357461,383.0730017,-25.23181536,-1.196656147,-1.218880136,-3.628711219,-253.6918738
1.64,0.980451505,7.999102937,-4.061195922,7.663335435,-2.160164833,144.2813074,0.132913413,-458.1092916,184.7738258,53.0051001,-58.10282167,364.0821105,-24.08665108,-1.130708679,-1.195188432,-3.355663513,-244.3792424
1.65,0.915158708,7.685792996,-3.965581249,7.268141629,-1.995387215,141.1523858,0.264916477,-453.0025295,183.4326544,52.1852365,-55.06339929,346.9051423,-23.24841599,-1.06843995,-1.269170866,-3.297825883,-236.4816464
1.66,0.898558894,7.281288641,-3.842904685,6.92610479,-1.856432841,138.0167652,0.39173434,-448.3904351,181.2214384,51.53318224,-52.41312757,330.7837687,-22.6933923,-1.011465558,-1.416554954,-3.395780025,-229.5046024
1.67,0.949070003,6.779090724,-3.685086758,6.60246871,-1.721390027,134.8266908,0.519506496,-444.4161221,178.01518,50.88585607,-49.88496777,314.4837592,-22.37335252,-0.952849772,-1.650657858,-3.638312569,-223.093185
1.68,1.075778077,6.170279638,-3.489952691,6.302901143,-1.590718479,131.490312,0.641325131,-440.7827206,173.5086373,50.3110501,-47.5484958,298.0522951,-22.30554671,-0.895664186,-1.974353576,-4.025886776,-217.1594898
1.69,1.277396004,5.471905187,-3.264730177,6.042435753,-1.471123095,128.1307966,0.751571748,-437.7738953,167.8532618,49.87025069,-45.64753089,282.0242902,-22.56438591,-0.842754072,-2.381633124,-4.548531631,-211.9380506
1.7,1.492231684,4.713586792,-2.997531099,5.892129328,-1.422440801,125.0025802,0.857867024,-435.3117054,162.1879905,49.24979308,-44.89908018,269.1983709,-23.62773647,-0.777304395,-2.80530738,-5.0324623,-207.3619773
1.71,1.808343128,3.797889477,-2.670383333,5.760553801,-1.370164396,121.4831139,0.942604045,-432.4272136,154.2789913,48.68500638,-44.68578348,256.2131465,-24.98381824,-0.710886462,-3.343496068,-5.713585319,-202.9957705
